game,model,metric,mean,std,var,median,max,min,skew
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Aborted,0.13333333333333333,0.3428033318008816,0.11751412429378533,0.0,1.0,0.0,2.2129910046960086
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Lose,0.35,0.4809947319913075,0.23135593220338974,0.0,1.0,0.0,0.6452146082793596
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Main Score,34.854661993621924,15.191015906300592,230.7669642654776,39.7987117552335,56.48148148148148,0.0,-1.444571783820559
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Parsed Request Count,96.38333333333334,76.51876731503474,5855.121751412428,54.0,230.0,3.0,0.9714669130323064
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Played,0.8666666666666667,0.3428033318008816,0.11751412429378534,1.0,1.0,0.0,-2.2129910046960086
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Request Count,108.5,92.15416339215757,8492.389830508475,56.5,277.0,4.0,0.9995375686912044
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Request Success Ratio,0.9219097051399102,0.05912953704230252,0.0034963021508370258,0.9473684210526316,1.0,0.75,-0.683032249369459
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Success,0.6166666666666667,0.49030141772790004,0.24039548022598872,1.0,1.0,0.0,-0.4923079999715289
wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,Violated Request Count,12.116666666666667,15.955543818092615,254.57937853107347,3.0,47.0,0.0,1.1104567687872866
wizardsapprentice,Mixtral-8x22B-Instruct-v0.1-t0.0--custom-t0.0--custom-t0.0,Aborted,0.38333333333333336,0.4903014177279,0.24039548022598867,0.0,1.0,0.0,0.4923079999715289
wizardsapprentice,Mixtral-8x22B-Instruct-v0.1-t0.0--custom-t0.0--custom-t0.0,Lose,0.38333333333333336,0.4903014177278999,0.24039548022598864,0.0,1.0,0.0,0.49230799997152874
wizardsapprentice,Mixtral-8x22B-Instruct-v0.1-t0.0--custom-t0.0--custom-t0.0,Main Score,24.216451959205582,20.1092942683488,404.3837159710459,31.48148148148148,53.91304347826087,0.0,-0.23526664290678795
wizardsapprentice,Mixtral-8x22B-Instruct-v0.1-t0.0--custom-t0.0--custom-t0.0,Parsed Request Count,73.01666666666667,55.101290909442454,3036.152259887006,54.0,230.0,6.0,1.468253581080073
wizardsapprentice,Mixtral-8x22B-Instruct-v0.1-t0.0--custom-t0.0--custom-t0.0,Played,0.6166666666666667,0.4903014177279,0.24039548022598867,1.0,1.0,0.0,-0.4923079999715291
